country,area,percent
Afghanistan,79.39,20.61
Albania,44.5,55.5
Algeria,53.88,46.12
Angola,67.45,32.55
Argentina,75.11,24.89
Armenia,21.66,78.34
Australia,73.51,26.49
Austria,27.38,72.62
Azerbaijan,30.36,69.64
Bangladesh,63.66,36.34
Belarus,58.72,41.28
Belgium,57.38,42.62
Bosnia and Herzegovina,45.21,54.79
Botswana,55.67,44.33
Brazil,77.93,22.07
Bulgaria,42.13,57.87
Cambodia,53.56,46.44
Canada,64.58,35.42
Chile,59.8,40.2
China,36.41,63.59
Colombia,69.5,30.5
Costa Rica,55.38,44.62
Croatia,33.62,66.38
Cuba,31.2,68.8
Cyprus,32.05,67.95
Czech Republic,26.08,73.92
Denmark,26.67,73.33
Dominican Republic,68.37,31.63
Ecuador,70.59,29.41
Egypt,49.68,50.32
El Salvador,69.79,30.21
Equatorial Guinea,80.71,19.29
Estonia,23.59,76.41
Ethiopia,47.15,52.85
Finland,36.51,63.49
France,65.7,34.3
Georgia,25.16,74.84
Germany,44.12,55.88
Ghana,46.88,53.12
Greece,56.42,43.58
Guatemala,62.65,37.35
Guinea Bissau,80.71,19.29
Honduras,80.87,19.13
Hungary,35.06,64.94
Iceland,23.02,76.98
India,59.83,40.17
Indonesia,53.3,46.7
Iran,55.72,44.28
Iraq,59.13,40.87
Ireland,52.96,47.04
Israel,36.24,63.76
Italy,63.51,36.49
Jamaica,71.44,28.56
Japan,32.35,67.65
Jordan,38.82,61.18
Kazakhstan,64.17,35.83
Kenya,59.03,40.97
Kuwait,30.55,69.45
Latvia,37.91,62.09
Lebanon,46.67,53.33
Libya,62.29,37.71
Lithuania,37.58,62.42
Luxembourg,30.15,69.85
Macedonia,46.76,53.24
Malaysia,63.4,36.6
Mexico,81.8,18.2
Moldova,44.74,55.26
Mongolia,55.34,44.66
Montenegro,47.2,52.8
Morocco,55.39,44.61
Namibia,68.64,31.36
Nepal,37.25,62.75
Netherlands,36.16,63.84
New Zealand,46.75,53.25
Niger,66.22,33.78
Nigeria,66.22,33.78
Northern Cyprus,32.05,67.95
Norway,44.06,55.94
Oman,60.2,39.8
Pakistan,54.1,45.9
Panama,47.16,52.84
Papua New Guinea,80.71,19.29
Paraguay,49.29,50.71
Peru,70.7,29.3
Philippines,64.72,35.28
Poland,42.09,57.91
Portugal,52.98,47.02
Puerto Rico,68.55,31.45
Qatar,13.96,86.04
Republic of Serbia,41.41,58.59
Romania,60.2,39.8
Russia,52.3,47.7
Rwanda,24.16,75.84
Saudi Arabia,30.29,69.71
Slovakia,29.89,70.11
Slovenia,21.48,78.52
South Africa,81.98,18.02
South Korea,25.38,74.62
Spain,54.42,45.58
Sri Lanka,41.19,58.81
Sweden,56.59,43.41
Switzerland,26.61,73.39
Syria,67.94,32.06
Taiwan,15.05,84.95
Thailand,46.45,53.55
Trinidad and Tobago,76.21,23.79
Tunisia,47.14,52.86
Turkey,47.62,52.38
Ukraine,53.17,46.83
United Arab Emirates,16.3,83.7
United Kingdom,71.24,28.76
United Republic of Tanzania,59.9,40.1
United States of America,75.75,24.25
Uruguay,54.81,45.19
Uzbekistan,33.86,66.14
Venezuela,83.98,16.02
Vietnam,53.61,46.39
Zimbabwe,60.35,39.65
